               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042222,             0.03695,           0.0030578,             0.93665,             0.99085,             0.98003,             0.73358,            0.028547,            0.017246,           0.0017643,             0.00307,             0.00307,             0.00307
                  37,            0.043437,            0.034502,           0.0033577,             0.94668,             0.98942,             0.98088,             0.73029,            0.028849,            0.017096,           0.0017661,            0.002872,            0.002872,            0.002872
                  38,            0.042544,            0.034942,           0.0042346,             0.87241,             0.96725,             0.95055,              0.4636,            0.038533,            0.018757,            0.001672,            0.002674,            0.002674,            0.002674
                  39,             0.04795,            0.036841,           0.0036385,             0.89946,             0.98553,             0.96977,             0.67036,            0.029563,            0.016866,           0.0017157,            0.002476,            0.002476,            0.002476
                  40,            0.040114,             0.03332,           0.0029286,             0.90309,             0.98476,             0.95872,              0.6576,            0.030738,            0.017128,           0.0016675,            0.002278,            0.002278,            0.002278
                  41,            0.042951,            0.034197,            0.003468,              0.9396,             0.98636,             0.98348,             0.71051,            0.030291,            0.016898,           0.0016186,             0.00208,             0.00208,             0.00208
                  42,            0.044064,            0.034235,           0.0028973,             0.95918,             0.98784,             0.97798,             0.68713,            0.028815,            0.016768,            0.001612,            0.001882,            0.001882,            0.001882
                  43,              0.0448,            0.036413,           0.0037244,             0.96332,             0.99085,             0.98754,             0.72054,            0.028012,            0.016455,           0.0016116,            0.001684,            0.001684,            0.001684
                  44,            0.041746,            0.036715,           0.0030081,             0.95406,             0.99038,             0.98793,             0.70222,            0.028422,            0.016457,           0.0015634,            0.001486,            0.001486,            0.001486
                  45,             0.04142,            0.033435,           0.0024897,              0.9594,             0.99176,             0.98683,             0.76444,            0.026977,            0.016157,           0.0015408,            0.001288,            0.001288,            0.001288
                  46,            0.040867,            0.030265,           0.0043396,             0.95354,             0.99047,             0.98524,             0.74175,            0.027324,            0.016397,           0.0015089,             0.00109,             0.00109,             0.00109
                  47,            0.041709,            0.030776,           0.0033362,             0.95905,              0.9939,             0.98495,             0.76421,            0.026423,            0.016276,           0.0014581,            0.000892,            0.000892,            0.000892
                  48,            0.037971,            0.034356,           0.0022248,             0.95536,             0.99348,             0.98601,             0.76714,            0.026236,            0.016048,           0.0015117,            0.000694,            0.000694,            0.000694
                  49,            0.040521,            0.033351,           0.0030642,             0.95403,             0.99387,             0.98461,             0.77117,             0.02617,            0.015945,           0.0014936,            0.000496,            0.000496,            0.000496
